Name,Address,Rating,Review Count,Types
Accesorios manhattan,"Moneda 19-interior local 49, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 08000 Ciudad de México, CDMX, Mexico",4.3,3,jewelry_store
Alexandra Accesorios,"Jose T.Cuellar 214, Paulino Navarro, Cuauhtémoc, 06870 Ciudad de México, CDMX, Mexico",5.0,1,store
PLIZBORD ACCESORIOS,"C. de Venustiano Carranza 71-local 9, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.7,6,clothing_store
Todomoda,"Lorenzo Boturini 258-Int. SSC19, Tránsito, Cuauhtémoc, 06820 Ciudad de México, CDMX, Mexico",3.6,16,store
Todomoda,"Calz. Vallejo 1090-Loc. A-202, Sta Cruz de las Salinas, Azcapotzalco, 02340 Ciudad de México, CDMX, Mexico",3.9,73,store
Todomoda,"Av. Cuauhtémoc 462-Loc. 16, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",4.0,179,store
Moda Urbana,"Leona Vicario 59 PB, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, Mexico",4.0,1,clothing_store
Tinta Urbana Playeras,"República de Colombia 25-local 3, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, Mexico",5.0,2,clothing_store
Sequía Urbana,"Manuel Doblado 40 Plaza del Sol local 56, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, Mexico",4.0,1,clothing_store
MUNDI | Moda Urbana Nacional de Diseño Internacional,"20 de Noviembre 170, Centro, Cuauhtémoc, 06090 Ciudad de México, CDMX, Mexico",4.0,4,clothing_store
SUP Urban Shop,"Calle Cto 26 231, Col. Héroes de Tecamac, 55763 Mexico City, Méx., Mexico",4.0,4,store
Plaza Del Comercio Popular León De Judá,"C. de la Academia 38, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.1,18,clothing_store
Ropa Para Mujer,"Cda. San Ciprian 25, La Merced, Centro, Venustiano Carranza, 15100 Ciudad de México, CDMX, Mexico",5.0,2,womens_clothing_store
Ropa De Dama Juvenil y Casual Creaciones Oliva,"C. de Mixcalco 108 Pasillo 13 local 580, Cuahutemoc Col Centro Primer local del pasillo 13, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, Mexico",5.0,1,womens_clothing_store
Troppo Moda Lecumberri,"Lecumberri 20-local 5, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, Mexico",4.1,60,womens_clothing_store
KARLA D LIZ,"20 de Noviembre 178-Local 106 B, Centro, Cuauhtémoc, 06080 Cuauhtémoc, CDMX, Mexico",4.4,70,womens_clothing_store
Ropa para dama La abuelita,"República de Guatemala 73, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",5.0,1,womens_clothing_store
Ropa para Dama "Buhole","Pasaje, José María Pino Suárez 59, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06090 Ejido del Centro, CDMX, Mexico",5.0,5,womens_clothing_store
MI-A es moda,"margil #9 loc 9, Soledad 53-A, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, Mexico",3.5,4,womens_clothing_store
Ropa para mujer Juvenil,"C. de Mixcalco 72, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",5.0,1,womens_clothing_store
El Palacio del Traje,"República de Brasil 20, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, Mexico",4.2,24,clothing_store
Ropa de pants para Hombre,"Mercado de Mixcalco S/N, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, Mexico",5.0,1,clothing_store
Ropa para Caballero MarCas,"Calle Dr Liceaga 108, Doctores, Cuauhtémoc, 06720 Ciudad de México, CDMX, Mexico",4.0,2,clothing_store
Pantalones Originales para Caballero,"Plaza de San Pablo 31, La Merced, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",5.0,2,clothing_store
